GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Calculator with JUnit5 and Cucumber tests,calculator,Divides,0,31,0,2,0,9,0,4,0,3
Calculator with JUnit5 and Cucumber tests,calculator,Times,0,20,0,0,0,7,0,3,0,3
Calculator with JUnit5 and Cucumber tests,calculator,Plus,0,20,0,0,0,7,0,3,0,3
Calculator with JUnit5 and Cucumber tests,calculator,IllegalConstruction,0,3,0,0,0,1,0,1,0,1
Calculator with JUnit5 and Cucumber tests,calculator,MyNumber,8,43,1,7,3,14,4,9,3,6
Calculator with JUnit5 and Cucumber tests,calculator,Operation,7,118,1,11,3,31,2,13,1,8
Calculator with JUnit5 and Cucumber tests,calculator,Minus,0,20,0,0,0,7,0,3,0,3
Calculator with JUnit5 and Cucumber tests,calculator,RationalNumber,32,133,5,9,2,21,7,9,2,7
Calculator with JUnit5 and Cucumber tests,calculator,Notation,0,21,0,0,0,4,0,1,0,1
Calculator with JUnit5 and Cucumber tests,calculator,Calculator,42,14,0,0,12,5,2,2,2,2
Calculator with JUnit5 and Cucumber tests,visitor,Evaluator,0,67,0,4,0,16,0,6,0,4
Calculator with JUnit5 and Cucumber tests,visitor,Visitor,0,3,0,0,0,1,0,1,0,1
Calculator with JUnit5 and Cucumber tests,visitor,NotationVisitor,0,86,0,5,0,17,0,7,0,4
Calculator with JUnit5 and Cucumber tests,visitor,CountingVisitor,2,81,2,4,0,18,2,7,0,6
